uid,age,group,bw
30,0.000,Control,34.300
30,1.000,Control,33.000
30,2.000,Control,33.500
30,3.000,Control,33.100
30,3.429,Control,34.100
30,4.000,Control,34.900
30,5.000,Control,34.300
30,6.000,Control,34.000
30,7.000,Control,33.700
30,8.000,Control,33.700
30,9.000,Control,34.300
30,10.000,Control,35.000
30,11.000,Control,35.800
33,-0.286,Control,34.500
33,0.000,Control,34.500
33,1.000,Control,33.000
33,2.000,Control,32.700
33,3.000,Control,32.500
33,3.429,Control,32.700
33,4.000,Control,32.800
33,5.000,Control,33.100
33,6.000,Control,32.900
33,7.000,Control,32.400
33,8.000,Control,32.400
33,9.000,Control,32.600
33,10.000,Control,32.700
33,11.000,Control,33.100
34,-0.286,Control,36.000
34,0.000,Control,34.900
34,1.000,Control,35.100
34,2.000,Control,34.400
34,3.000,Control,34.500
34,3.429,Control,35.700
34,4.000,Control,36.300
34,5.000,Control,36.600
34,6.000,Control,36.100
34,7.000,Control,36.000
34,8.000,Control,36.000
34,9.000,Control,37.400
34,10.000,Control,37.100
34,11.000,Control,37.500
79,-0.286,Control,48.500
79,0.000,Control,46.800
79,1.000,Control,45.200
79,2.000,Control,44.200
79,3.000,Control,44.600
79,3.429,Control,45.900
79,4.000,Control,47.000
79,5.000,Control,46.900
79,6.000,Control,46.800
79,7.000,Control,46.700
79,8.000,Control,46.700
79,9.000,Control,48.200
79,10.000,Control,48.900
79,11.000,Control,42.300
91,-0.286,Control,50.900
91,0.000,Control,48.800
91,1.000,Control,41.900
91,2.000,Control,37.700
91,3.000,Control,37.200
91,3.429,Control,38.800
91,4.000,Control,38.000
91,5.000,Control,36.200
91,6.000,Control,34.300
91,7.000,Control,35.400
91,8.000,Control,35.400
91,9.000,Control,35.400
91,10.000,Control,35.900
91,11.000,Control,37.800
93,-0.286,Control,42.400
93,0.000,Control,38.900
93,1.000,Control,37.600
93,2.000,Control,37.000
93,3.000,Control,37.500
93,3.429,Control,39.200
93,4.000,Control,39.500
93,5.000,Control,39.400
93,6.000,Control,38.400
93,7.000,Control,40.200
93,8.000,Control,40.200
93,9.000,Control,42.100
93,10.000,Control,43.100
93,11.000,Control,43.000
102,-0.286,Control,40.100
102,0.000,Control,37.900
102,1.000,Control,36.900
102,2.000,Control,36.800
102,3.000,Control,36.800
102,3.429,Control,37.400
102,4.000,Control,37.800
102,5.000,Control,36.600
102,6.000,Control,36.900
102,7.000,Control,37.400
102,8.000,Control,37.400
102,9.000,Control,37.600
102,10.000,Control,39.300
102,11.000,Control,40.000
103,-0.286,Control,45.500
103,0.000,Control,42.900
103,1.000,Control,40.000
103,2.000,Control,38.700
103,3.000,Control,39.400
103,3.429,Control,41.600
103,4.000,Control,41.700
103,5.000,Control,41.700
103,6.000,Control,41.700
103,7.000,Control,42.100
103,8.000,Control,42.100
103,9.000,Control,43.200
103,10.000,Control,45.200
103,11.000,Control,45.300
104,-0.286,Control,47.300
104,0.000,Control,44.600
104,1.000,Control,43.000
104,2.000,Control,42.500
104,3.000,Control,41.500
104,3.429,Control,43.100
104,4.000,Control,43.100
104,5.000,Control,44.000
104,6.000,Control,43.600
104,7.000,Control,43.300
104,8.000,Control,43.300
104,9.000,Control,44.600
104,10.000,Control,45.700
104,11.000,Control,45.600
7,-0.286,Control,53.200
7,0.000,Control,49.800
7,1.000,Control,42.800
7,2.000,Control,41.300
7,3.000,Control,41.000
7,3.429,Control,43.100
7,4.000,Control,43.200
7,5.000,Control,44.400
7,6.000,Control,41.600
7,7.000,Control,45.500
7,8.000,Control,45.500
7,9.000,Control,48.300
7,10.000,Control,51.300
7,11.000,Control,51.300
12,-0.286,Control,40.800
12,0.000,Control,38.900
12,1.000,Control,37.100
12,2.000,Control,35.200
12,3.000,Control,35.500
12,3.429,Control,36.600
12,4.000,Control,37.300
12,5.000,Control,36.900
